id,sex,age,unknown,zip
1,0,1,10,48067
2,1,56,16,70072
3,1,25,15,55117
4,1,45,7,2460
5,1,25,20,55455
6,0,50,9,55117
7,1,35,1,6810
8,1,25,12,11413
9,1,25,17,61614
10,0,35,1,95370
11,0,25,1,4093
12,1,25,12,32793
13,1,45,1,93304
14,1,35,0,60126
15,1,25,7,22903
16,0,35,0,20670
17,1,50,1,95350
18,0,18,3,95825
19,1,1,10,48073
20,1,25,14,55113
21,1,18,16,99353
22,1,18,15,53706
23,1,35,0,90049
24,0,25,7,10023
25,1,18,4,1609
26,1,25,7,23112
27,1,25,11,19130
28,0,25,1,14607
29,1,35,7,33407
30,0,35,7,19143
31,1,56,7,6840
32,0,25,0,19355
33,1,45,3,55421
34,0,18,0,2135
35,1,45,1,2482
36,1,25,3,94123
37,0,25,9,66212
38,0,18,4,2215
39,1,18,4,61820
40,1,45,0,10543
41,0,18,4,15116
42,1,25,8,24502
43,1,25,12,60614
44,1,45,17,98052
45,0,45,16,94110
46,1,18,19,75602
47,1,18,4,94305
48,1,25,4,92107
49,1,18,12,77084
50,0,25,2,98133
51,0,1,10,10562
52,1,18,4,72212
53,1,25,0,96931
54,1,50,1,56723
55,0,35,12,55303
56,1,35,20,60440
57,1,18,19,30350
58,1,25,2,30303
59,0,50,1,55413
60,1,50,1,72118
61,1,25,17,95122
62,0,35,3,98105
63,1,18,4,54902
64,1,18,1,53706
65,1,35,12,55803
66,1,25,18,57706
67,0,50,5,60181
68,1,18,4,53706
69,0,25,1,2143
70,1,18,4,53703
71,1,25,14,95008
72,0,45,0,55122
73,1,18,4,53706
74,1,35,14,94530
75,0,1,10,1748
76,1,35,7,55413
77,1,18,4,15321
78,0,45,1,98029
79,0,45,0,98103
80,1,56,1,49327
81,0,25,0,60640
82,1,25,17,48380
83,0,25,2,94609
84,1,18,4,53140
85,1,18,4,94945
86,0,1,10,54467
87,1,25,14,48360
88,0,45,1,2476
89,0,56,9,85749
90,1,56,13,85749
91,1,35,7,7650
92,0,18,4,44243
93,1,25,17,95825
94,1,25,17,28601
95,1,45,0,98201
96,0,25,16,78028
97,0,35,3,66210
98,0,35,7,33547
99,0,1,10,19390
100,1,35,17,95401
101,0,18,3,33314
102,1,35,19,20871
103,1,45,7,92104
104,1,25,12,926
105,1,45,12,90277
106,0,35,11,79101
107,1,45,18,63129
108,1,25,12,30316
109,1,45,15,92028
110,1,25,2,90803
111,1,35,15,55416
112,1,25,16,97209
113,1,18,12,37032
114,0,25,2,83712
115,1,25,17,28083
116,1,25,17,55744
117,1,25,17,33314
118,1,35,17,22315
119,0,1,10,77515
120,1,25,11,27106
121,1,35,7,75229
122,0,18,4,94305
123,1,35,9,67208
124,1,56,7,91356
125,1,45,14,1701
126,1,18,9,98117
127,0,45,3,1770
128,1,56,6,37922
129,1,25,11,20164
130,1,35,17,50021
131,1,18,4,6520
132,1,25,17,99709
133,0,25,0,55071
134,1,25,0,66212
135,1,18,4,20006
136,1,18,2,21202
137,0,45,6,78758
138,1,18,20,22203
139,0,25,20,45409
140,0,35,1,55107
141,1,35,13,62035
142,1,25,7,10011
143,1,18,3,64043
144,1,25,17,29401
145,1,18,4,19081
146,0,35,20,10954
147,1,18,4,91360
148,1,50,17,57747
149,1,25,1,29205
150,1,35,7,98144
151,0,25,20,85013
152,1,18,4,48104
153,1,1,10,51537
154,1,50,20,94530
155,1,35,12,7470
156,0,45,7,14519
157,1,35,16,12866
158,1,56,7,28754
159,0,45,0,37922
160,1,35,7,13021
161,1,45,16,981072117
162,0,18,4,93117
163,1,18,4,85013
164,0,56,13,94566
165,1,18,16,98502
166,1,18,4,92802
167,0,25,11,10022
168,0,50,0,46970
169,1,25,7,55439
170,1,25,11,7002
171,0,50,17,55441
172,1,25,3,7661
173,1,25,0,45237
174,1,25,16,21203
175,0,25,2,95123
176,0,18,3,55016
177,1,50,1,54016
178,1,56,17,53705
179,1,25,0,2135
180,1,45,12,1603
181,1,18,17,33186
182,1,18,4,3052
183,0,45,1,55407
184,0,25,0,19001
185,1,45,0,14468
186,1,18,5,91767
187,0,45,1,94061
188,1,56,16,79930
189,1,18,0,60076
190,1,25,17,55125
191,1,18,4,4915
192,1,18,1,10977
193,0,45,15,44106
194,0,1,10,29146
195,1,25,12,10458
196,0,35,9,94587
197,1,18,14,10023
198,1,25,12,55108
199,1,18,4,83706
200,0,18,4,84321
201,0,35,2,55117
202,1,18,4,53706
203,0,18,4,53715
204,1,25,7,92123
205,1,35,12,97333
206,1,25,17,20194
207,1,25,12,94115
208,1,35,17,55432
209,1,35,1,90048
210,0,1,10,25801
211,1,45,17,90620
212,1,25,16,53714
213,0,18,4,1609
214,1,18,20,80218
215,1,35,14,92075
216,1,45,13,52761
217,1,18,4,22903
218,1,35,14,95822
219,0,25,4,55113
220,1,25,12,22903
221,0,25,0,94063
222,1,25,1,55116
223,1,25,17,28262
224,0,18,4,14850
225,1,25,7,11215
226,1,35,1,94518
227,1,35,20,90291
228,1,25,15,55455
229,1,18,10,4576
230,1,45,1,43210
231,1,25,3,55455
232,1,25,20,55408
233,0,45,20,379194204
234,1,35,7,39652
235,1,25,0,98153
236,1,25,5,55126
237,1,25,6,46835
238,0,50,7,90291
239,1,18,19,94618
240,1,50,17,55113
241,1,35,20,55121
242,0,18,4,53706
243,1,25,16,11576
244,1,50,7,19072
245,1,35,16,66046
246,0,18,4,60625
247,1,25,17,94404
248,1,18,17,72703
249,0,18,14,48126
250,1,35,16,11229
251,1,56,17,55105
252,1,25,12,94112
253,0,25,11,97370
254,1,35,17,49015
255,1,35,0,85310
256,1,45,16,55076
257,1,18,18,55113
258,1,25,7,55436
259,1,25,1,60615
260,1,18,19,98126
261,1,25,20,75801
262,0,25,1,68503
263,0,25,7,22304
264,1,35,0,20755
265,0,35,7,55116
266,1,35,11,75229
267,1,45,12,55001
268,0,18,12,29708
269,1,25,2,55408
270,1,50,14,55414
271,1,18,4,48202
272,1,18,0,80302
273,1,18,4,55427
274,1,18,4,55455
275,1,25,0,48162
276,1,45,16,1982
277,0,35,1,98126
278,1,45,18,60482
279,1,25,14,91214
280,1,50,7,19118
281,0,35,0,94117
282,1,25,17,94401
283,1,25,0,10003
284,1,25,12,91910
285,0,35,0,94109
286,1,25,1,54601
287,1,50,13,94706
288,0,25,12,97119
289,0,25,0,11801
290,0,25,20,94591
